5
School_0 100
A-0072 3 N
A-0073 2 N
B-0052 1 N
C-0093 2 Y
B-0087 4 N
B-0083 1 N
C-0012 4 Y
A-0068 2 N
C-0046 1 Y
B-0085 3 Y
B-0066 4 N
B-0007 3 Y
C-0066 3 N
B-0024 1 N
A-0059 4 Y
C-0000 2 Y
C-0011 3 Y
B-0077 4 Y
A-0083 1 N
B-0040 3 Y
B-0080 4 N
A-0009 3 N
C-0023 4 N
A-0076 3 N
A-0058 3 N
A-0054 2 Y
C-0014 4 N
B-0045 1 Y
A-0082 1 Y
A-0021 3 Y
A-0033 2 N
A-0053 3 N
B-0070 4 N
C-0053 4 Y
C-0048 1 Y
C-0019 3 N
B-0074 2 Y
A-0098 3 Y
A-0002 2 N
C-0021 4 Y
C-0052 3 N
B-0050 2 N
B-0034 2 Y
B-0048 4 N
B-0005 1 N
C-0034 2 Y
B-0084 4 Y
B-0027 4 Y
C-0084 1 Y
B-0065 4 Y
C-0088 3 Y
B-0003 2 N
C-0082 2 N
B-0041 1 Y
B-0096 4 Y
B-0091 4 Y
A-0045 3 N
A-0052 4 Y
A-0078 4 Y
B-0000 3 Y
A-0055 4 N
A-0046 4 N
C-0064 4 Y
A-0018 4 Y
C-0009 3 N
B-0018 2 Y
A-0075 2 Y
A-0096 1 Y
B-0028 3 N
A-0038 3 N
B-0058 2 N
B-0008 2 Y
A-0037 3 Y
C-0043 4 N
C-0039 4 N
A-0006 3 Y
C-0038 4 Y
C-0091 1 N
C-0076 2 N
B-0013 3 N
A-0056 2 N
B-0038 4 Y
A-0030 4 Y
C-0025 1 N
C-0054 2 Y
C-0073 1 Y
C-0074 3 Y
A-0039 3 N
A-0014 4 N
B-0011 1 Y
B-0088 3 Y
C-0001 3 N
C-0060 3 Y
A-0022 3 Y
B-0031 4 N
A-0025 4 N
B-0035 1 N
B-0075 4 N
A-0057 2 N
A-0093 4 Y
School_1 100
C-0084 3 N
C-0047 1 N
C-0080 1 N
B-0059 3 Y
A-0037 2 Y
A-0081 1 N
B-0089 2 Y
C-0061 2 Y
C-0011 2 Y
A-0034 1 N
A-0024 2 Y
C-0000 3 N
C-0042 3 Y
B-0010 1 Y
A-0031 2 N
C-0024 3 N
C-0074 2 N
C-0037 2 N
